𛀂	安
𛀅	惡
𛀃	愛
𛀄	阿
𛀆	以
𛀇	伊
𛀈	意
𛀉	移
𛀊	宇
𛀋	宇
𛀌	憂
𛀍	有
𛀎	雲
𛀁	江
𛀏	盈
𛀐	縁
𛀑	衣
𛀒	衣
𛀓	要
𛀔	於
𛀕	於
𛀖	隱
𛀗	佳
𛀘	加
𛀙	可
𛀚	可
𛀛	嘉
𛀢	家
𛀜	我
𛀝	歟
𛀞	賀
𛀟	閑
𛀠	香
𛀡	駕
𛀣	喜
𛀤	幾
𛀥	幾
𛀦	支
𛀻	期
𛀧	木
𛀨	祈
𛀩	貴
𛀪	起
𛀫	久
𛀬	久
𛀭	九
𛀮	供
𛀯	倶
𛀰	具
𛀱	求
𛀳	介
𛀲	介
𛀢	家
𛀴	希
𛀵	氣
𛀶	計
𛀷	遣
𛀸	古
𛂘	子
𛀹	故
𛀻	期
𛀺	許
𛀼	乍
𛀽	佐
𛀾	佐
𛀿	左
𛁀	差
𛁁	散
𛁂	斜
𛁃	沙
𛁄	之
𛁅	之
𛁆	事
𛁇	四
𛁈	志
𛁉	新
𛁊	受
𛁋	壽
𛁌	數
𛁍	數
𛁎	春
𛁏	春
𛁐	須
𛁑	須
𛁒	世
𛁓	世
𛁔	世
𛁕	勢
𛁖	聲
𛁗	所
𛁘	所
𛁙	曾
𛁚	曾
𛁛	楚
𛁜	蘇
𛁝	處
𛁞	堂
𛁟	多
𛁠	多
𛁡	當
𛁢	千
𛁣	地
𛁤	智
𛁥	知
𛁦	知
𛁧	致
𛁨	遲
𛁩	川
𛁪	川
𛁫	津
𛁬	都
𛁭	徒
𛁮	亭
𛁯	低
𛁰	傳
𛁱	天
𛁲	天
𛁳	天
𛁴	帝
𛁵	弖
𛁶	轉
𛂎	而
𛁷	土
𛁸	度
𛁹	東
𛁺	登
𛁻	登
𛁼	砥
𛁽	等
𛁭	徒
𛁾	南
𛁿	名
𛂀	奈
𛂁	奈
𛂂	奈
𛂃	菜
𛂄	那
𛂅	那
𛂆	難
𛂇	丹
𛂈	二
𛂉	仁
𛂊	兒
𛂋	爾
𛂌	爾
𛂍	耳
𛂎	而
𛂏	努
𛂐	奴
𛂑	怒
𛂒	年
𛂓	年
𛂔	年
𛂕	根
𛂖	熱
𛂗	禰
𛂘	子
𛂙	乃
𛂚	濃
𛂛	能
𛂜	能
𛂝	農
𛂞	八
𛂟	半
𛂠	婆
𛂡	波
𛂢	盤
𛂣	盤
𛂤	破
𛂥	者
𛂦	者
𛂧	葉
𛂨	頗
𛂩	悲
𛂪	日
𛂫	比
𛂬	避
𛂭	非
𛂮	飛
𛂯	飛
𛂰	不
𛂱	婦
𛂲	布
𛂳	倍
𛂴	弊
𛂵	弊
𛂶	遍
𛂷	邊
𛂸	邊
𛂹	部
𛂺	保
𛂻	保
𛂼	報
𛂽	奉
𛂾	寶
𛂿	本
𛃀	本
𛃁	豊
𛃂	万
𛃃	末
𛃄	末
𛃅	滿
𛃆	滿
𛃇	萬
𛃈	麻
𛃖	馬
𛃉	三
𛃊	微
𛃋	美
𛃌	美
𛃍	美
𛃎	見
𛃏	身
𛃐	武
𛃑	無
𛃒	牟
𛃓	舞
𛄝	无
𛄞	无
𛃔	免
𛃕	面
𛃖	馬
𛃗	母
𛃘	毛
𛃙	毛
𛃚	毛
𛃛	茂
𛃜	裳
𛄝	无
𛄞	无
𛃝	也
𛃞	也
𛃟	屋
𛃠	耶
𛃡	耶
𛃢	夜
𛀆	以
𛃣	游
𛃤	由
𛃥	由
𛃦	遊
𛀁	江
𛃧	代
𛃨	余
𛃩	與
𛃪	與
𛃫	與
𛃬	餘
𛃢	夜
𛃭	羅
𛃮	良
𛃯	良
𛃰	良
𛁽	等
𛃱	利
𛃲	利
𛃳	李
𛃴	梨
𛃵	理
𛃶	里
𛃷	離
𛃸	流
𛃹	留
𛃺	留
𛃻	留
𛃼	累
𛃽	類
𛃾	禮
𛃿	禮
𛄀	連
𛄁	麗
𛄂	呂
𛄃	呂
𛄄	婁
𛄅	樓
𛄆	路
𛄇	露
𛄈	倭
𛄉	和
𛄊	和
𛄋	王
𛄌	王
𛄍	井
𛄎	井
𛄏	居
𛄐	爲
𛄑	遺
𛄒	惠
𛄓	衞
𛄔	衞
𛄕	衞
𛄖	乎
𛄗	乎
𛄘	尾
𛄙	緒
𛄚	越
𛄛	遠
𛄜	遠
𛀅	惡
𛄝	无
𛄞	无
